Gene_ID	term
isogroup179509	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup216892	GO:0044434;GO:0044435
isogroup216892	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup52433	GO:0044434;GO:0044435
isogroup275458	GO:0044434;GO:0044435
isogroup273303	GO:0044434;GO:0044435
isogroup273303	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup118810	GO:0044434;GO:0044435
isogroup274038	GO:0044434;GO:0044435
isogroup274038	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup114899	GO:0044434;GO:0044435
isogroup166776	GO:0044434;GO:0044435
isogroup185122	GO:0044434;GO:0044435
isogroup51116	GO:0044434;GO:0044435
isogroup118348	GO:0044434;GO:0044435
isogroup270564	GO:0044434;GO:0044435
isogroup270564	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup270629	GO:0044434;GO:0044435
isogroup272530	GO:0044434;GO:0044435
isogroup275557	GO:0044434;GO:0044435
isogroup275557	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup56767	GO:0044434;GO:0044435
isogroup232340	GO:0044434;GO:0044435
isogroup232340	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup271135	GO:0044434;GO:0044435
isogroup271135	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup52104	GO:0044434;GO:0044435
isogroup52104	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup118615	GO:0044434;GO:0044435
isogroup119722	GO:0044434;GO:0044435
isogroup119722	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup183556	GO:0044434;GO:0044435
isogroup222806	GO:0044434;GO:0044435
isogroup208998	GO:0044434;GO:0044435
isogroup268396	GO:0044434;GO:0044435
isogroup268396	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup273599	GO:0044434;GO:0044435
isogroup229751	GO:0044434;GO:0044435
isogroup229751	GO:0009523;GO:0009521
isogroup229751	GO:0030076
isogroup229751	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup119837	GO:0044434;GO:0044435
isogroup119982	GO:0044434;GO:0044435
isogroup93124	GO:0044434;GO:0044435
isogroup173639	GO:0044434;GO:0044435
isogroup281681	GO:0044434;GO:0044435
isogroup113767	GO:0044434;GO:0044435
isogroup113767	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup193417	GO:0044434;GO:0044435
isogroup193417	GO:0009523;GO:0009521
isogroup193417	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
