Gene_ID	term
328	isogroup278709	GO:0044434;GO:0044435
329	isogroup282615	GO:0044434;GO:0044435
330	isogroup226534	GO:0044434;GO:0044435
331	isogroup226534	GO:0009523;GO:0009521
332	isogroup226534	GO:0030076
333	isogroup226534	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
334	isogroup209289	GO:0044434;GO:0044435
335	isogroup209289	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
336	isogroup49476	GO:0044434;GO:0044435
337	isogroup49476	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
338	isogroup277589	GO:0044434;GO:0044435
339	isogroup183123	GO:0044434;GO:0044435
340	isogroup275148	GO:0044434;GO:0044435
341	isogroup276662	GO:0044434;GO:0044435
342	isogroup276662	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
343	isogroup236369	GO:0044434;GO:0044435
344	isogroup236369	GO:0009523;GO:0009521
345	isogroup236369	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
346	isogroup278633	GO:0044434;GO:0044435
347	isogroup155518	GO:0044434;GO:0044435
348	isogroup155518	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
349	isogroup75169	GO:0044434;GO:0044435
350	isogroup75169	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
351	isogroup56794	GO:0044434;GO:0044435
352	isogroup56794	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
353	isogroup60758	GO:0044434;GO:0044435
354	isogroup60758	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
355	isogroup219483	GO:0044434;GO:0044435
356	isogroup118336	GO:0044434;GO:0044435
357	isogroup118336	GO:0009523;GO:0009521
358	isogroup118336	GO:0030076
359	isogroup118336	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
360	isogroup238965	GO:0044434;GO:0044435
361	isogroup238965	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
362	isogroup76347	GO:0044434;GO:0044435
363	isogroup275570	GO:0044434;GO:0044435
364	isogroup233863	GO:0044434;GO:0044435
365	isogroup233863	GO:0009523;GO:0009521
366	isogroup233863	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
367	isogroup276113	GO:0044434;GO:0044435
368	isogroup182878	GO:0044434;GO:0044435
369	isogroup182878	GO:0009523;GO:0009521
370	isogroup182878	GO:0030076
371	isogroup182878	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
